date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race,year,month,day,dia_sem,hora,franja_horaria,month_name,solo_calle
2022-05-13,16:36:02,Arson,Chicago,IL,6481 Main St,26,Other,White,2022,5,13,viernes,16,tarde,mayo,Main St
2023-04-13,02:41:24,Vandalism,Chicago,IL,8414 Oak St,67,Non-binary,Hispanic,2023,4,13,jueves,2,madrugada,abril,Oak St
2024-09-16,02:17:31,Assault,Los Angeles,CA,1254 Oak St,62,Male,Black,2024,9,16,lunes,2,madrugada,septiembre,Oak St
2022-05-02,22:16:39,Arson,Phoenix,AZ,2589 Oak St,56,Other,Hispanic,2022,5,2,lunes,22,noche,mayo,Oak St
2021-10-29,05:28:11,Fraud,Dallas,TX,8318 Pine St,65,Non-binary,Asian,2021,10,29,viernes,5,madrugada,octubre,Pine St
2025-04-26,15:20:56,Burglary,Los Angeles,CA,5269 Main St,24,Female,Asian,2025,4,26,sábado,15,tarde,abril,Main St
2024-08-12,06:33:11,Homicide,Houston,TX,924 Pine St,52,Male,Hispanic,2024,8,12,lunes,6,mañana,agosto,Pine St
2023-08-03,04:39:10,Burglary,San Diego,CA,4340 Maple Ave,50,Female,Asian,2023,8,3,jueves,4,madrugada,agosto,Maple Ave
2023-05-27,06:25:14,Domestic Violence,San Jose,CA,2261 Elm St,70,Female,Other,2023,5,27,sábado,6,mañana,mayo,Elm St
2022-04-22,02:04:27,Burglary,Phoenix,AZ,4441 Elm St,44,Female,Asian,2022,4,22,viernes,2,madrugada,abril,Elm St
2022-12-08,18:20:22,Drug Offense,Philadelphia,PA,648 Maple Ave,43,Female,Other,2022,12,8,jueves,18,noche,diciembre,Maple Ave
2021-02-25,06:27:40,Homicide,San Jose,CA,1114 Elm St,39,Male,Black,2021,2,25,jueves,6,mañana,febrero,Elm St
2023-04-19,20:15:11,Vandalism,Philadelphia,PA,4833 Maple Ave,16,Other,Asian,2023,4,19,miércoles,20,noche,abril,Maple Ave
2023-11-01,09:54:38,Arson,New York,NY,963 Maple Ave,53,Male,Asian,2023,11,1,miércoles,9,mañana,noviembre,Maple Ave
2021-06-27,16:10:58,Domestic Violence,San Diego,CA,9462 Main St,75,Female,Hispanic,2021,6,27,domingo,16,tarde,junio,Main St
2025-03-22,04:01:31,Arson,Los Angeles,CA,5074 Oak St,90,Other,Black,2025,3,22,sábado,4,madrugada,marzo,Oak St
2024-04-12,06:40:05,Vandalism,Phoenix,AZ,3997 Elm St,89,Female,Hispanic,2024,4,12,viernes,6,mañana,abril,Elm St
2025-07-04,22:33:19,Homicide,Philadelphia,PA,2783 Main St,15,Other,Other,2025,7,4,viernes,22,noche,julio,Main St
2022-01-10,02:09:25,Assault,Los Angeles,CA,282 Oak St,41,Other,Other,2022,1,10,lunes,2,madrugada,enero,Oak St
2022-03-17,00:09:35,Fraud,Chicago,IL,5634 Maple Ave,82,Male,White,2022,3,17,jueves,0,madrugada,marzo,Maple Ave
2020-11-12,14:22:45,Arson,San Diego,CA,7462 Main St,27,Male,White,2020,11,12,jueves,14,tarde,noviembre,Main St
2022-01-10,00:23:17,Assault,Houston,TX,8231 Maple Ave,54,Female,Black,2022,1,10,lunes,0,madrugada,enero,Maple Ave
2023-03-01,10:22:08,Vandalism,Chicago,IL,153 Maple Ave,81,Non-binary,Asian,2023,3,1,miércoles,10,mañana,marzo,Maple Ave
2024-10-03,09:22:46,Theft,San Antonio,TX,4998 Pine St,23,Male,Hispanic,2024,10,3,jueves,9,mañana,octubre,Pine St
2021-12-09,14:30:49,Vandalism,Dallas,TX,274 Broadway,35,Male,White,2021,12,9,jueves,14,tarde,diciembre,Broadway
2023-07-05,18:55:22,Domestic Violence,Phoenix,AZ,8226 Broadway,20,Non-binary,Other,2023,7,5,miércoles,18,noche,julio,Broadway
2021-02-16,08:54:47,Assault,San Jose,CA,3114 Pine St,59,Other,Other,2021,2,16,martes,8,mañana,febrero,Pine St
2024-06-14,16:18:49,Vandalism,San Jose,CA,4227 Oak St,17,Female,Hispanic,2024,6,14,viernes,16,tarde,junio,Oak St
2021-03-28,12:36:24,Domestic Violence,San Antonio,TX,3426 Pine St,58,Female,Other,2021,3,28,domingo,12,tarde,marzo,Pine St
2021-06-22,15:37:14,Vandalism,Phoenix,AZ,5919 Oak St,86,Male,Black,2021,6,22,martes,15,tarde,junio,Oak St
2020-10-31,21:38:39,Fraud,San Antonio,TX,170 Elm St,74,Non-binary,Other,2020,10,31,sábado,21,noche,octubre,Elm St
2023-02-01,12:49:39,Arson,San Jose,CA,6392 Pine St,67,Female,Asian,2023,2,1,miércoles,12,tarde,febrero,Pine St
2025-04-02,07:04:01,Arson,New York,NY,7610 Oak St,41,Male,Other,2025,4,2,miércoles,7,mañana,abril,Oak St
2023-06-25,11:34:54,Homicide,San Jose,CA,5782 Main St,22,Female,Asian,2023,6,25,domingo,11,mañana,junio,Main St
2023-07-04,21:46:20,Vandalism,New York,NY,3538 Maple Ave,47,Female,White,2023,7,4,martes,21,noche,julio,Maple Ave
2024-11-24,22:42:01,Vandalism,Dallas,TX,5547 Maple Ave,25,Non-binary,Other,2024,11,24,domingo,22,noche,noviembre,Maple Ave
2022-12-18,11:42:29,Domestic Violence,San Diego,CA,5120 Elm St,40,Female,Other,2022,12,18,domingo,11,mañana,diciembre,Elm St
2022-09-06,16:09:58,Theft,Phoenix,AZ,8866 Main St,84,Other,Asian,2022,9,6,martes,16,tarde,septiembre,Main St
2023-12-10,15:04:39,Theft,New York,NY,8904 Oak St,39,Male,Black,2023,12,10,domingo,15,tarde,diciembre,Oak St
2021-01-30,03:41:40,Drug Offense,Phoenix,AZ,1619 Maple Ave,34,Other,White,2021,1,30,sábado,3,madrugada,enero,Maple Ave
2021-01-04,20:59:32,Domestic Violence,Dallas,TX,9992 Elm St,14,Male,White,2021,1,4,lunes,20,noche,enero,Elm St
2021-12-05,15:28:42,Fraud,Houston,TX,8074 Elm St,57,Female,White,2021,12,5,domingo,15,tarde,diciembre,Elm St
2022-11-10,08:42:49,Vandalism,Dallas,TX,5650 Pine St,38,Male,Other,2022,11,10,jueves,8,mañana,noviembre,Pine St
2021-04-02,14:31:31,Theft,San Jose,CA,9405 Maple Ave,16,Non-binary,Other,2021,4,2,viernes,14,tarde,abril,Maple Ave
2023-10-14,18:49:01,Burglary,San Jose,CA,7445 Elm St,63,Male,White,2023,10,14,sábado,18,noche,octubre,Elm St
2022-06-14,03:13:14,Drug Offense,San Diego,CA,5323 Elm St,54,Other,Black,2022,6,14,martes,3,madrugada,junio,Elm St
2024-02-22,19:51:30,Robbery,Los Angeles,CA,2684 Broadway,85,Male,Asian,2024,2,22,jueves,19,noche,febrero,Broadway
2025-01-24,15:58:07,Burglary,San Jose,CA,2606 Main St,21,Non-binary,White,2025,1,24,viernes,15,tarde,enero,Main St
2023-05-26,06:43:57,Drug Offense,Houston,TX,2447 Oak St,67,Female,White,2023,5,26,viernes,6,mañana,mayo,Oak St
2020-12-02,00:01:42,Vandalism,San Antonio,TX,8238 Elm St,70,Female,Asian,2020,12,2,miércoles,0,madrugada,diciembre,Elm St
2020-11-14,16:46:56,Domestic Violence,San Jose,CA,5115 Broadway,71,Other,Black,2020,11,14,sábado,16,tarde,noviembre,Broadway
2022-01-19,09:16:54,Robbery,New York,NY,7673 Broadway,79,Male,Other,2022,1,19,miércoles,9,mañana,enero,Broadway
2023-06-19,23:57:50,Homicide,New York,NY,1764 Maple Ave,67,Male,Asian,2023,6,19,lunes,23,noche,junio,Maple Ave
2025-04-11,13:43:10,Vandalism,San Diego,CA,5295 Main St,30,Male,Other,2025,4,11,viernes,13,tarde,abril,Main St
2024-11-06,06:30:56,Fraud,New York,NY,7386 Main St,56,Non-binary,White,2024,11,6,miércoles,6,mañana,noviembre,Main St
2025-07-04,22:18:23,Homicide,San Diego,CA,3427 Oak St,83,Other,Other,2025,7,4,viernes,22,noche,julio,Oak St
2025-02-05,15:02:14,Theft,Dallas,TX,2087 Maple Ave,33,Non-binary,Hispanic,2025,2,5,miércoles,15,tarde,febrero,Maple Ave
2022-07-28,09:59:53,Domestic Violence,San Antonio,TX,1673 Pine St,40,Other,White,2022,7,28,jueves,9,mañana,julio,Pine St
2022-12-19,12:05:14,Homicide,Dallas,TX,2690 Broadway,25,Other,Hispanic,2022,12,19,lunes,12,tarde,diciembre,Broadway
2021-01-08,16:32:37,Arson,Philadelphia,PA,7265 Pine St,14,Male,Asian,2021,1,8,viernes,16,tarde,enero,Pine St
2020-11-14,10:00:27,Robbery,Phoenix,AZ,5228 Broadway,17,Male,Black,2020,11,14,sábado,10,mañana,noviembre,Broadway
2023-04-24,12:58:24,Drug Offense,San Antonio,TX,2291 Pine St,80,Female,Hispanic,2023,4,24,lunes,12,tarde,abril,Pine St
2023-01-08,00:39:19,Fraud,San Jose,CA,5138 Broadway,45,Male,Other,2023,1,8,domingo,0,madrugada,enero,Broadway
2023-02-22,18:08:35,Domestic Violence,Philadelphia,PA,1970 Broadway,78,Male,Asian,2023,2,22,miércoles,18,noche,febrero,Broadway
2023-04-27,13:06:27,Robbery,Phoenix,AZ,7634 Maple Ave,56,Male,White,2023,4,27,jueves,13,tarde,abril,Maple Ave
2021-09-12,15:10:14,Robbery,San Jose,CA,4216 Oak St,83,Other,Black,2021,9,12,domingo,15,tarde,septiembre,Oak St
2021-11-19,00:13:53,Burglary,Philadelphia,PA,37 Elm St,49,Non-binary,Other,2021,11,19,viernes,0,madrugada,noviembre,Elm St
2023-01-25,02:22:21,Assault,Dallas,TX,2192 Elm St,35,Non-binary,Black,2023,1,25,miércoles,2,madrugada,enero,Elm St
2024-12-03,06:51:13,Vandalism,San Diego,CA,5736 Maple Ave,88,Female,Other,2024,12,3,martes,6,mañana,diciembre,Maple Ave
2024-06-22,12:17:43,Domestic Violence,Philadelphia,PA,3753 Broadway,26,Other,Black,2024,6,22,sábado,12,tarde,junio,Broadway
2022-07-30,12:10:31,Drug Offense,Philadelphia,PA,6912 Elm St,75,Female,Other,2022,7,30,sábado,12,tarde,julio,Elm St
2025-02-07,12:33:49,Theft,San Diego,CA,9371 Broadway,61,Other,Other,2025,2,7,viernes,12,tarde,febrero,Broadway
2021-03-20,09:47:49,Fraud,Philadelphia,PA,6120 Main St,39,Male,White,2021,3,20,sábado,9,mañana,marzo,Main St
2024-10-22,00:47:23,Vandalism,Chicago,IL,3380 Maple Ave,82,Non-binary,Other,2024,10,22,martes,0,madrugada,octubre,Maple Ave
2022-06-18,10:01:24,Burglary,Los Angeles,CA,9559 Pine St,42,Female,White,2022,6,18,sábado,10,mañana,junio,Pine St
2022-01-19,06:15:53,Assault,Chicago,IL,2267 Main St,75,Male,Black,2022,1,19,miércoles,6,mañana,enero,Main St
2022-12-30,18:18:07,Burglary,Dallas,TX,7270 Broadway,40,Other,White,2022,12,30,viernes,18,noche,diciembre,Broadway
2021-04-27,00:33:06,Burglary,Houston,TX,1398 Pine St,34,Non-binary,Black,2021,4,27,martes,0,madrugada,abril,Pine St
2022-04-13,06:30:36,Burglary,Philadelphia,PA,9084 Main St,70,Other,White,2022,4,13,miércoles,6,mañana,abril,Main St
2022-04-07,11:50:56,Vandalism,Dallas,TX,3526 Oak St,84,Non-binary,Asian,2022,4,7,jueves,11,mañana,abril,Oak St
2021-08-22,01:08:25,Domestic Violence,Los Angeles,CA,7447 Elm St,27,Other,White,2021,8,22,domingo,1,madrugada,agosto,Elm St
2021-09-01,22:16:54,Vandalism,Dallas,TX,3909 Pine St,18,Other,White,2021,9,1,miércoles,22,noche,septiembre,Pine St
2025-06-07,07:52:27,Fraud,Dallas,TX,7130 Oak St,35,Male,White,2025,6,7,sábado,7,mañana,junio,Oak St
2022-10-09,16:33:55,Assault,Chicago,IL,7079 Pine St,40,Other,White,2022,10,9,domingo,16,tarde,octubre,Pine St
2023-08-22,17:46:28,Assault,San Diego,CA,8196 Pine St,89,Non-binary,Hispanic,2023,8,22,martes,17,tarde,agosto,Pine St
2021-05-29,12:18:37,Assault,San Jose,CA,5125 Maple Ave,12,Other,White,2021,5,29,sábado,12,tarde,mayo,Maple Ave
2022-02-20,02:13:08,Vandalism,New York,NY,7381 Pine St,44,Female,Black,2022,2,20,domingo,2,madrugada,febrero,Pine St
2021-03-07,06:16:37,Vandalism,San Antonio,TX,1513 Main St,22,Male,Asian,2021,3,7,domingo,6,mañana,marzo,Main St
2021-03-10,00:58:51,Theft,Phoenix,AZ,4785 Pine St,52,Other,Hispanic,2021,3,10,miércoles,0,madrugada,marzo,Pine St
2023-12-09,09:34:23,Drug Offense,Dallas,TX,3365 Broadway,72,Non-binary,White,2023,12,9,sábado,9,mañana,diciembre,Broadway
2021-06-24,04:11:22,Fraud,Chicago,IL,7198 Maple Ave,28,Other,White,2021,6,24,jueves,4,madrugada,junio,Maple Ave
2022-07-28,18:00:49,Domestic Violence,San Diego,CA,9778 Main St,89,Male,Asian,2022,7,28,jueves,18,noche,julio,Main St
2021-07-02,00:15:58,Drug Offense,San Diego,CA,5022 Elm St,65,Female,Other,2021,7,2,viernes,0,madrugada,julio,Elm St
2020-10-07,01:01:17,Assault,San Jose,CA,977 Main St,35,Non-binary,Black,2020,10,7,miércoles,1,madrugada,octubre,Main St
2023-11-03,10:23:43,Arson,Los Angeles,CA,3886 Main St,34,Female,Black,2023,11,3,viernes,10,mañana,noviembre,Main St
2022-05-28,08:47:10,Arson,Los Angeles,CA,1902 Broadway,38,Female,Other,2022,5,28,sábado,8,mañana,mayo,Broadway
2023-06-28,04:22:25,Vandalism,San Diego,CA,2713 Maple Ave,80,Male,Black,2023,6,28,miércoles,4,madrugada,junio,Maple Ave
2022-12-09,20:59:20,Vandalism,Phoenix,AZ,1393 Pine St,48,Female,Asian,2022,12,9,viernes,20,noche,diciembre,Pine St
2023-01-13,13:54:16,Robbery,San Antonio,TX,4876 Main St,13,Other,Other,2023,1,13,viernes,13,tarde,enero,Main St
2020-12-25,05:21:18,Assault,Los Angeles,CA,9716 Broadway,27,Non-binary,Hispanic,2020,12,25,viernes,5,madrugada,diciembre,Broadway
2025-01-13,14:22:23,Burglary,Houston,TX,5009 Elm St,79,Female,White,2025,1,13,lunes,14,tarde,enero,Elm St
2023-01-24,05:49:36,Burglary,Dallas,TX,5264 Oak St,60,Other,White,2023,1,24,martes,5,madrugada,enero,Oak St
2022-09-20,11:05:41,Homicide,Phoenix,AZ,6401 Elm St,75,Female,Other,2022,9,20,martes,11,mañana,septiembre,Elm St
2024-11-17,19:21:46,Drug Offense,New York,NY,2493 Maple Ave,43,Female,Other,2024,11,17,domingo,19,noche,noviembre,Maple Ave
2022-10-05,18:36:29,Theft,Philadelphia,PA,3045 Broadway,54,Female,Hispanic,2022,10,5,miércoles,18,noche,octubre,Broadway
2023-06-18,09:08:29,Domestic Violence,San Diego,CA,8711 Elm St,81,Non-binary,Black,2023,6,18,domingo,9,mañana,junio,Elm St
2021-01-16,11:24:34,Burglary,San Diego,CA,1985 Broadway,88,Non-binary,Black,2021,1,16,sábado,11,mañana,enero,Broadway
2023-10-04,17:52:32,Burglary,Dallas,TX,7012 Maple Ave,45,Non-binary,Other,2023,10,4,miércoles,17,tarde,octubre,Maple Ave
2023-03-12,18:15:04,Theft,Dallas,TX,2421 Main St,67,Other,Asian,2023,3,12,domingo,18,noche,marzo,Main St
2024-01-14,22:58:48,Domestic Violence,San Antonio,TX,8111 Broadway,62,Male,Asian,2024,1,14,domingo,22,noche,enero,Broadway
2023-08-17,21:56:19,Arson,Philadelphia,PA,1832 Main St,35,Female,White,2023,8,17,jueves,21,noche,agosto,Main St
2024-08-23,10:20:08,Domestic Violence,San Diego,CA,7559 Elm St,40,Male,White,2024,8,23,viernes,10,mañana,agosto,Elm St
2022-11-07,08:09:48,Assault,San Diego,CA,961 Pine St,26,Female,Asian,2022,11,7,lunes,8,mañana,noviembre,Pine St
2024-03-21,22:17:35,Domestic Violence,Los Angeles,CA,6231 Oak St,44,Male,White,2024,3,21,jueves,22,noche,marzo,Oak St
2022-01-09,19:00:13,Vandalism,Houston,TX,1905 Pine St,50,Non-binary,Hispanic,2022,1,9,domingo,19,noche,enero,Pine St
2023-05-21,22:29:22,Burglary,Phoenix,AZ,2184 Oak St,44,Female,Black,2023,5,21,domingo,22,noche,mayo,Oak St
2025-01-22,17:20:48,Drug Offense,New York,NY,9031 Elm St,34,Non-binary,Hispanic,2025,1,22,miércoles,17,tarde,enero,Elm St
2022-09-08,15:18:09,Fraud,San Jose,CA,9268 Oak St,62,Female,Other,2022,9,8,jueves,15,tarde,septiembre,Oak St
2023-11-01,22:18:41,Drug Offense,Dallas,TX,393 Maple Ave,89,Male,Asian,2023,11,1,miércoles,22,noche,noviembre,Maple Ave
2020-09-25,13:07:29,Theft,Chicago,IL,4651 Pine St,60,Female,White,2020,9,25,viernes,13,tarde,septiembre,Pine St
2025-01-29,02:33:24,Theft,Los Angeles,CA,2879 Elm St,73,Female,Hispanic,2025,1,29,miércoles,2,madrugada,enero,Elm St
2023-11-20,20:16:26,Domestic Violence,Chicago,IL,6840 Pine St,82,Non-binary,Other,2023,11,20,lunes,20,noche,noviembre,Pine St
2021-07-20,10:56:28,Fraud,Phoenix,AZ,1417 Main St,43,Non-binary,Hispanic,2021,7,20,martes,10,mañana,julio,Main St
2022-12-25,05:46:29,Theft,Dallas,TX,477 Maple Ave,18,Non-binary,Other,2022,12,25,domingo,5,madrugada,diciembre,Maple Ave
2020-08-21,22:00:20,Burglary,Houston,TX,8612 Oak St,16,Other,Black,2020,8,21,viernes,22,noche,agosto,Oak St
2024-01-18,04:49:21,Theft,Houston,TX,916 Oak St,49,Other,Hispanic,2024,1,18,jueves,4,madrugada,enero,Oak St
